Scattering Cross-Section: Angle, Cross-section
Random rotation
0.349066 5.13137e+06
0.366519 3.51389e+06
0.383972 2.12751e+06
0.401426 1.16637e+06
0.418879 670870
0.436332 555486
0.453786 663835
0.471239 829514
0.488692 924874
0.506145 887335
0.523599 721197
0.541052 479978
0.558505 238523
0.575959 64911.6
0.593412 158.177
0.610865 49842.6
0.628319 187670
0.645772 367611
0.663225 539535
0.680678 663278
0.698132 717475
0.715585 701673
0.733038 632364
0.750492 535187
0.767945 436157
0.785398 354557
0.802851 299142
0.820305 268117
0.837758 252173
0.855211 239165
0.872665 218780
0.890118 185847
0.907571 141534
0.925025 92408.1
0.942478 47932
0.959931 17335.8
0.977384 6833.79
0.994838 17926.8
1.01229 47136.8
1.02974 87081.7
1.0472 128458
1.06465 162313
1.0821 182008
1.09956 184415
1.11701 170173
1.13446 143066
1.15192 108793
1.16937 73522.6
1.18682 42576.4
1.20428 19524.5
1.22173 5814.26
1.23918 911.888
1.25664 2822.18
1.27409 8797.59
1.29154 16044.5
1.309 22279
1.32645 26052.8
1.3439 26835.5
1.36136 24898.1
1.37881 21067.6
1.39626 16434.5
1.41372 12077
1.43117 8850.01
1.44862 7257.7
1.46608 7412.6
1.48353 9067.64
1.50098 11702.8
1.51844 14645
1.53589 17200.9
1.55334 18783.6
1.5708 19016.6
1.58825 17800.8
1.6057 15333.9
1.62316 12077.6
1.64061 8675.35
1.65806 5832.72
1.67552 4180.58
1.69297 4146.06
1.71042 5858.19
1.72788 9109.52
1.74533 13385.2
1.76278 17957.5
1.78024 22028
1.79769 24891.6
1.81514 26085.3
1.8326 25491.6
1.85005 23373.3
1.8675 20330
1.88496 17186.8
1.90241 14837.3
1.91986 14076
1.93732 15453.9
1.95477 19187.9
1.97222 25139.6
1.98968 32865
2.00713 41719.1
2.02458 50990.5
2.04204 60034.4
2.05949 68375.6
2.07694 75763.2
2.0944 82169.4
2.11185 87739
2.1293 92706.6
2.14675 97304.4
2.16421 101683
2.18166 105863
2.19911 109726
2.21657 113044
2.23402 115541
2.25147 116962
2.26893 117144
2.28638 116054
2.30383 113814
2.32129 110671
2.33874 106953
2.35619 103001
2.37365 99099
2.3911 95418.5
2.40855 91987.1
2.42601 88689.9
2.44346 85301.1
2.46091 81538.9
2.47837 77130.8
2.49582 71876.4
2.51327 65693.9
2.53073 58642.9
2.54818 50920.5
2.56563 42833.3
2.58309 34752.9
2.60054 27063.6
2.61799 20112.9
2.63545 14171.1
2.6529 9405.67
2.67035 5871.36
2.68781 3516.33
2.70526 2201.4
2.72271 1729.75
2.74017 1883.48
2.75762 2462.84
2.77507 3323.41
2.79253 4405.12
2.80998 5747.11
2.82743 7482.42
2.84489 9809
2.86234 12937.5
2.87979 17021.5
2.89725 22081.8
2.9147 27940.8
2.93215 34185.5
2.94961 40174.9
2.96706 45103.5
2.98451 48118.7
3.00197 48482
3.01942 45748
3.03687 39928.1
3.05433 31601.5
3.07178 21939
3.08923 12620
3.10669 5636.26
3.12414 3003.12
3.14159 6415.56
Random rotation
0 4.46866e+08
0.0174533 4.39204e+08
0.0349066 4.14065e+08
0.0523599 3.74033e+08
0.0698132 3.23099e+08
0.0872665 2.66085e+08
0.10472 2.07989e+08
0.122173 1.53338e+08
0.139626 1.05676e+08
0.15708 6.72327e+07
0.174533 3.88347e+07
0.191986 2.00281e+07
0.20944 9.37656e+06
0.226893 4.85871e+06
0.244346 4.28371e+06
0.261799 5.65198e+06
0.279253 7.40844e+06
0.296706 8.56417e+06
0.314159 8.69093e+06
0.331613 7.81651e+06
0.349066 6.26252e+06
0.366519 4.46971e+06
0.383972 2.84843e+06
0.401426 1.67932e+06
0.418879 1.07248e+06
0.436332 979387
0.453786 1.24128e+06
0.471239 1.65336e+06
0.488692 2.0254e+06
0.506145 2.22468e+06
0.523599 2.19492e+06
0.541052 1.95201e+06
0.558505 1.56296e+06
0.575959 1.11722e+06
0.593412 699290
0.610865 369136
0.628319 153545
0.645772 47952.3
0.663225 25761.3
0.680678 50893.2
0.698132 89502
0.715585 117953
0.733038 125865
0.750492 114630
0.767945 92975.6
0.785398 71587.4
0.802851 58593
0.820305 57066.8
0.837758 64846.2
0.855211 76215.4
0.872665 84537.2
0.890118 84813.3
0.907571 75361.2
0.925025 58206.6
0.942478 38240.9
0.959931 21555
0.977384 13542.8
0.994838 17350.2
1.01229 33072.8
1.02974 57841.3
1.0472 86676.9
1.06465 113808
1.0821 134058
1.09956 143954
1.11701 142313
1.13446 130240
1.15192 110611
1.16937 87233.5
1.18682 63928.5
1.20428 43748.8
1.22173 28497.6
1.23918 18607.5
1.25664 13357
1.27409 11320.7
1.29154 10919.6
1.309 10926.1
1.32645 10813.4
1.3439 10882.8
1.36136 12161.3
1.37881 16111.6
1.39626 24233.4
1.41372 37654.1
1.43117 56798.8
1.44862 81209.4
1.46608 109545
1.48353 139762
1.50098 169419
1.51844 196062
1.53589 217586
1.55334 232525
1.5708 240216
1.58825 240808
1.6057 235155
1.62316 224599
1.64061 210726
1.65806 195126
1.67552 179214
1.69297 164119
1.71042 150651
1.72788 139319
1.74533 130368
1.76278 123821
1.78024 119501
1.79769 117028
1.81514 115820
1.8326 115105
1.85005 113974
1.8675 111478
1.88496 106772
1.90241 99267
1.91986 88774.1
1.93732 75593.5
1.95477 60520.5
1.97222 44760.1
1.98968 29759
2.00713 16985.4
2.02458 7700.96
2.04204 2770.88
2.05949 2552.49
2.07694 6883.31
2.0944 15168.9
2.11185 26548.6
2.1293 40102
2.14675 55049.2
2.16421 70903.9
2.18166 87546.9
2.19911 105207
2.21657 124356
2.23402 145537
2.25147 169168
2.26893 195356
2.28638 223753
2.30383 253496
2.32129 283224
2.33874 311182
2.35619 335400
2.37365 353905
2.3911 364951
2.40855 367234
2.42601 360049
2.44346 343394
2.46091 317992
2.47837 285236
2.49582 247067
2.51327 205795
2.53073 163886
2.54818 123735
2.56563 87456
2.58309 56696.3
2.60054 32516.4
2.61799 15328.6
2.63545 4912.17
2.6529 497.129
2.67035 906.3
2.68781 4733.74
2.70526 10534.6
2.72271 16998.7
2.74017 23083.9
2.75762 28092
2.77507 31682.5
2.79253 33827.5
2.80998 34726.8
2.82743 34703
2.84489 34103.8
2.86234 33228.6
2.87979 32294.2
2.89725 31437.5
