Scattering Amplitude: Angle, Real Part, Imaginary Part
Random rotation
0.383972 1273.32 -1107.73
0.401426 1068.25 -733.599
0.418879 977.822 -341.094
0.436332 989.502 16.5365
0.453786 1072.9 300.276
0.471239 1189.12 489.234
0.488692 1299.5 580.264
0.506145 1372.24 584.505
0.523599 1386.4 522.311
0.541052 1333.18 417.893
0.558505 1214.96 294.685
0.575959 1042.89 172.036
0.593412 833.827 63.4239
0.610865 607.094 -23.9282
0.628319 381.762 -88.3326
0.645772 174.549 -132.231
0.663225 -1.49035 -160.496
0.680678 -137.583 -178.785
0.698132 -229.281 -192.178
0.715585 -276.109 -204.247
0.733038 -280.974 -216.607
0.750492 -249.47 -228.899
0.767945 -189.164 -239.149
0.785398 -108.922 -244.384
0.802851 -18.2609 -241.37
0.820305 73.2407 -227.382
0.837758 156.523 -200.865
0.855211 223.597 -161.926
0.872665 268.078 -112.567
0.890118 285.664 -56.6526
0.907571 274.52 0.425885
0.925025 235.517 52.3297
0.942478 172.264 92.5529
0.959931 90.8857 115.303
0.977384 -0.470936 116.372
0.994838 -92.3994 93.8754
1.01229 -175.209 48.7314
1.02974 -240.021 -15.2008
1.0472 -279.864 -91.395
1.06465 -290.604 -171.339
1.0821 -271.582 -245.563
1.09956 -225.812 -304.899
1.11701 -159.682 -341.782
1.13446 -82.1453 -351.415
1.15192 -3.48824 -332.564
1.16937 66.1727 -287.845
1.18682 118.428 -223.39
1.20428 147.891 -147.909
1.22173 153.038 -71.2526
1.23918 136.382 -2.71417
1.25664 103.891 50.633
1.27409 63.6961 85.2263
1.29154 24.3139 101.629
1.309 -7.3063 104.272
1.32645 -27.4687 100.294
1.3439 -36.7368 97.638
1.36136 -39.9316 102.795
1.37881 -44.9907 118.69
1.39626 -60.8217 143.297
1.41372 -94.5679 169.443
1.43117 -148.933 186.059
1.44862 -220.309 180.758
1.46608 -298.363 143.264
1.48353 -367.451 68.8593
1.50098 -409.744 -39.1013
1.51844 -409.49 -168.463
1.53589 -357.355 -299.805
1.55334 -253.661 -410.099
1.5708 -109.48 -477.734
1.58825 54.93 -487.638
1.6057 214.128 -435.091
1.62316 342.946 -327.088
1.64061 421.939 -180.813
1.65806 441.294 -19.63
1.67552 402.165 132.201
1.69297 315.192 254.505
1.71042 196.938 334.465
1.72788 65.5898 367.447
1.74533 -62.5865 355.599
1.76278 -175.045 305.255
1.78024 -262.879 224.49
1.79769 -319.636 121.905
1.81514 -340.253 6.90094
1.8326 -321.199 -109.252
1.85005 -262.095 -212.79
1.8675 -168.104 -288.478
1.88496 -51.6153 -322.658
1.90241 68.2646 -307.582
1.91986 169.128 -245.295
1.93732 230.993 -149.116
1.95477 242.49 -41.4603
1.97222 205.111 51.8625
1.98968 133.572 109.168
2.00713 51.7629 119.608
2.02458 -14.5348 86.5431
2.04204 -45.6287 26.2469
2.05949 -33.7467 -37.5986
2.07694 15.2654 -81.5493
2.0944 84.7184 -89.3962
2.11185 152.952 -56.162
2.1293 199.902 11.881
2.14675 212.008 100.508
2.16421 184.164 192.321
2.18166 118.836 270.97
2.19911 23.6443 323.494
2.21657 -90.9577 340.709
2.23402 -212.816 316.617
2.25147 -328.002 248.159
2.26893 -420.484 136.195
2.28638 -472.861 -12.4534
2.30383 -469.026 -183.06
2.32129 -398.529 -352.702
2.33874 -261.344 -492.83
2.35619 -71.0624 -574.761
2.37365 145.264 -576.891
2.3911 351.357 -491.426
2.40855 509.378 -328.281
2.42601 589.017 -114.492
2.44346 575.366 111.124
2.46091 473.13 306.822
2.47837 305.786 437.87
2.49582 109.805 484.778
2.51327 -74.471 447.492
2.53073 -212.722 344.434
2.54818 -284.566 206.779
2.56563 -287.393 69.7228
2.58309 -235.265 -36.6958
2.60054 -153.482 -94.6553
2.61799 -70.6367 -101.681
2.63545 -10.5951 -69.2814
2.6529 13.3168 -17.8827
2.67035 0.475283 30.1011
2.68781 -38.7501 56.8522
2.70526 -87.5968 53.4922
2.72271 -128.644 21.1993
2.74017 -148.79 -30.7492
2.75762 -142.084 -88.9057
2.77507 -109.951 -139.976
2.79253 -59.2753 -174.109
2.80998 0.526397 -186.35
2.82743 60.2071 -176.29
2.84489 112.3 -146.603
2.86234 151.441 -101.46
2.87979 173.828 -45.5841
2.89725 176.601 15.7992
2.9147 157.804 76.4467
2.93215 117.182 128.718
2.94961 57.4708 164.005
2.96706 -14.5455 174.265
2.98451 -88.0247 154.343
3.00197 -149.566 104.313
3.01942 -186.096 30.8141
3.03687 -188.388 -53.3719
3.05433 -154.099 -131.729
3.07178 -89.2046 -187.897
3.08923 -7.17779 -209.983
3.10669 74.0641 -193.971
3.12414 136.675 -145.136
3.14159 167.598 -76.9229
Random rotation
0 4524.14 20605.3
0.0174533 10563.3 17944
0.0349066 14956.1 13462.2
0.0523599 17234.2 8062.09
0.0698132 17375.4 2689.49
0.0872665 15741.9 -1863.45
0.10472 12944.5 -5090.5
0.122173 9676.97 -6819.08
0.139626 6563.5 -7178.01
0.15708 4051.47 -6507.97
0.174533 2364.07 -5246.49
0.191986 1510.43 -3818.28
0.20944 1338.19 -2554.06
0.226893 1607.04 -1648.89
0.244346 2062.07 -1159.6
0.261799 2491.06 -1032.13
0.279253 2757.34 -1145.13
0.296706 2807.46 -1356.24
0.314159 2658.75 -1540.04
0.331613 2374.86 -1611.97
0.349066 2037.97 -1536.64
0.366519 1724.45 -1323.12
0.383972 1488.43 -1011.78
0.401426 1354.57 -657.858
0.418879 1319.04 -316.046
0.436332 1356.4 -29.1743
0.453786 1429.31 177.824
0.471239 1498.35 298.828
0.488692 1529.97 343.489
0.506145 1501.59 331.883
0.523599 1403.51 288.478
0.541052 1238.16 236.737
